Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
OpenCL,MatrixMultiplication,512,3,0.341056,1.680480,0.157440,3.012985,PASS
OpenCL,MatrixMultiplication,512,4,0.341248,1.680480,0.157600,3.035602,PASS
OpenCL,MatrixMultiplication,512,5,0.341120,1.680544,0.157440,3.026656,PASS
OpenCL,MatrixMultiplication,512,6,0.341088,1.680960,0.157440,3.035814,PASS
OpenCL,MatrixMultiplication,512,7,0.342080,1.684608,0.157440,3.002439,PASS
OpenCL,MatrixMultiplication,512,8,0.341344,1.683168,0.157408,3.007737,PASS
OpenCL,MatrixMultiplication,512,9,0.340960,1.680512,0.157408,2.990092,PASS
OpenCL,MatrixMultiplication,512,10,0.341504,1.680256,0.157408,3.023478,PASS
OpenCL,MatrixMultiplication,512,11,0.340576,1.678496,0.157472,3.006532,PASS
OpenCL,MatrixMultiplication,512,12,0.341632,1.680512,0.157472,3.010548,PASS
OpenCL,MatrixMultiplication,512,13,0.340896,1.679200,0.157408,2.984571,PASS
OpenCL,MatrixMultiplication,512,14,0.341024,1.681056,0.157568,3.030763,PASS
OpenCL,MatrixMultiplication,512,15,0.341408,1.679648,0.157408,3.019520,PASS
OpenCL,MatrixMultiplication,512,16,0.341504,1.676832,0.157440,3.051435,PASS
OpenCL,MatrixMultiplication,512,17,0.341440,1.681536,0.157440,3.006011,PASS
OpenCL,MatrixMultiplication,512,18,0.341504,1.677440,0.169600,3.018273,PASS
OpenCL,MatrixMultiplication,512,19,0.341280,1.677984,0.157376,3.032028,PASS
OpenCL,MatrixMultiplication,512,20,0.340992,1.680352,0.157536,3.013566,PASS
OpenCL,MatrixMultiplication,512,21,0.340896,1.678592,0.157440,3.027224,PASS
OpenCL,MatrixMultiplication,512,22,0.340896,1.679232,0.157600,3.015085,PASS
OpenCL,MatrixMultiplication,512,23,0.341472,1.683040,0.157440,3.037825,PASS
OpenCL,MatrixMultiplication,512,24,0.341632,1.678400,0.157408,2.996849,PASS
OpenCL,MatrixMultiplication,512,25,0.340992,1.679360,0.157568,3.016163,PASS
