Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
OpenCL,Reduction,1000000,9,0.821280,0.103680,0.001600,1.369027,PASS
OpenCL,Reduction,1000000,10,0.834048,0.104832,0.001600,1.391506,PASS
OpenCL,Reduction,1000000,11,0.837824,0.104704,0.001600,1.383587,PASS
OpenCL,Reduction,1000000,12,0.833728,0.104800,0.001632,1.413108,PASS
OpenCL,Reduction,1000000,13,0.870496,0.104608,0.001600,1.413200,PASS
OpenCL,Reduction,1000000,14,0.841984,0.104544,0.001600,1.383601,PASS
OpenCL,Reduction,1000000,15,0.838752,0.105408,0.001600,1.411030,PASS
OpenCL,Reduction,1000000,16,0.845920,0.105344,0.001632,1.426825,PASS
OpenCL,Reduction,1000000,17,0.839328,0.104160,0.001632,1.385941,PASS
OpenCL,Reduction,1000000,18,0.853536,0.103712,0.001632,1.397596,PASS
OpenCL,Reduction,1000000,19,0.831328,0.105344,0.001632,1.380413,PASS
OpenCL,Reduction,1000000,20,0.841984,0.103712,0.001632,1.424551,PASS
OpenCL,Reduction,1000000,21,0.835392,0.104768,0.001664,1.384101,PASS
OpenCL,Reduction,1000000,22,0.828640,0.105088,0.001600,1.371179,PASS
OpenCL,Reduction,1000000,23,0.850304,0.103552,0.001632,1.398468,PASS
OpenCL,Reduction,1000000,24,0.837344,0.104064,0.001664,1.389560,PASS
OpenCL,Reduction,1000000,25,0.860032,0.104288,0.001600,1.415487,PASS
OpenCL,Reduction,1000000,26,0.836352,0.103456,0.001632,1.389571,PASS
OpenCL,Reduction,1000000,27,0.828448,0.103200,0.001632,1.368376,PASS
OpenCL,Reduction,1000000,28,0.843680,0.103648,0.001632,1.404421,PASS
OpenCL,Reduction,1000000,29,0.829760,0.104992,0.001632,1.385885,PASS
OpenCL,Reduction,1000000,30,0.824992,0.104128,0.001728,1.369872,PASS
OpenCL,Reduction,5000000,1,4.670528,0.376096,0.001600,5.503525,PASS
OpenCL,Reduction,5000000,2,4.663104,0.373824,0.001632,5.490525,PASS
OpenCL,Reduction,5000000,3,4.678880,0.375232,0.001632,5.513785,PASS
OpenCL,Reduction,5000000,4,4.731808,0.375648,0.001600,5.562775,PASS
OpenCL,Reduction,5000000,5,4.844384,0.373504,0.001632,5.728917,PASS
OpenCL,Reduction,5000000,6,4.677856,0.375264,0.001696,5.509663,PASS
OpenCL,Reduction,5000000,7,4.677792,0.377792,0.001632,5.511329,PASS
OpenCL,Reduction,5000000,8,4.701920,0.376384,0.001632,5.527377,PASS
OpenCL,Reduction,5000000,9,4.649792,0.375456,0.001632,5.484694,PASS
OpenCL,Reduction,5000000,10,4.715232,0.374208,0.001632,5.552708,PASS
OpenCL,Reduction,5000000,11,4.593792,0.377920,0.001600,5.419308,PASS
OpenCL,Reduction,5000000,12,4.708768,0.376992,0.001600,5.642538,PASS
OpenCL,Reduction,5000000,13,4.592896,0.376960,0.001600,5.437853,PASS
OpenCL,Reduction,5000000,14,4.694496,0.375968,0.001632,5.547509,PASS
OpenCL,Reduction,5000000,15,4.653632,0.375904,0.001632,5.482624,PASS
OpenCL,Reduction,5000000,16,4.699744,0.377888,0.001920,5.541758,PASS
