Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
CUDA,Reduction,1000000,11,0.920896,0.105344,0.011392,1.083993,PASS
CUDA,Reduction,1000000,12,0.906048,0.105408,0.010944,1.076868,PASS
CUDA,Reduction,1000000,13,0.928000,0.104416,0.011552,1.096129,PASS
CUDA,Reduction,1000000,14,0.916160,0.105984,0.011488,1.086452,PASS
CUDA,Reduction,1000000,15,0.920192,0.105024,0.011712,1.083725,PASS
CUDA,Reduction,1000000,16,0.919264,0.105152,0.011072,1.087825,PASS
CUDA,Reduction,1000000,17,0.919648,0.104640,0.011552,1.091822,PASS
CUDA,Reduction,1000000,18,0.909088,0.104192,0.010880,1.076259,PASS
CUDA,Reduction,1000000,19,0.921952,0.105120,0.011200,1.092220,PASS
CUDA,Reduction,1000000,20,0.934464,0.115584,0.011712,1.115439,PASS
CUDA,Reduction,1000000,21,0.911296,0.105280,0.011584,1.070676,PASS
CUDA,Reduction,1000000,22,0.926528,0.104736,0.011200,1.084171,PASS
CUDA,Reduction,1000000,23,0.896576,0.104320,0.011744,1.062512,PASS
CUDA,Reduction,1000000,24,0.916320,0.106304,0.010784,1.074278,PASS
CUDA,Reduction,1000000,25,0.901760,0.104800,0.011328,1.058617,PASS
CUDA,Reduction,1000000,26,0.950304,0.104576,0.011648,1.120342,PASS
CUDA,Reduction,1000000,27,0.953440,0.104352,0.011520,1.112684,PASS
CUDA,Reduction,1000000,28,0.920736,0.104992,0.010912,1.078359,PASS
CUDA,Reduction,1000000,29,0.944352,0.104768,0.011456,1.114674,PASS
CUDA,Reduction,1000000,30,0.918112,0.105792,0.011360,1.077172,PASS
CUDA,Reduction,5000000,1,4.207552,0.371200,0.011232,4.634436,PASS
CUDA,Reduction,5000000,2,4.063872,0.370496,0.011456,4.491990,PASS
CUDA,Reduction,5000000,3,4.040288,0.375296,0.011552,4.480003,PASS
CUDA,Reduction,5000000,4,4.019584,0.373120,0.011744,4.447475,PASS
CUDA,Reduction,5000000,5,4.063584,0.371968,0.011488,4.490166,PASS
CUDA,Reduction,5000000,6,3.996928,0.372096,0.012448,4.432231,PASS
CUDA,Reduction,5000000,7,4.055040,0.373600,0.011104,4.488758,PASS
CUDA,Reduction,5000000,8,3.997440,0.371456,0.012352,4.426547,PASS
CUDA,Reduction,5000000,9,3.998368,0.370592,0.011136,4.423942,PASS
CUDA,Reduction,5000000,10,4.034432,0.373280,0.012032,4.462193,PASS
CUDA,Reduction,5000000,11,4.061600,0.369696,0.011488,4.556680,PASS
CUDA,Reduction,5000000,12,4.036864,0.371712,0.012832,4.469975,PASS
CUDA,Reduction,5000000,13,4.050144,0.371264,0.011264,4.473944,PASS
CUDA,Reduction,5000000,14,4.038336,0.374176,0.012064,4.469590,PASS
CUDA,Reduction,5000000,15,4.055264,0.370528,0.011776,4.481948,PASS
CUDA,Reduction,5000000,16,4.041632,0.375584,0.012480,4.482567,PASS
CUDA,Reduction,5000000,17,4.128736,0.373184,0.014240,4.575754,PASS
CUDA,Reduction,5000000,18,4.043232,0.371456,0.012416,4.471840,PASS
CUDA,Reduction,5000000,19,4.113024,0.375168,0.013024,4.548074,PASS
CUDA,Reduction,5000000,20,4.039072,0.372480,0.011264,4.465477,PASS
CUDA,Reduction,5000000,21,4.027360,0.371232,0.011808,4.463191,PASS
CUDA,Reduction,5000000,22,4.079104,0.373568,0.011456,4.510278,PASS
CUDA,Reduction,5000000,23,4.062208,0.373120,0.012096,4.491982,PASS
CUDA,Reduction,5000000,24,4.041824,0.373440,0.011456,4.484104,PASS
CUDA,Reduction,5000000,25,4.083296,0.374752,0.012544,4.515654,PASS
CUDA,Reduction,5000000,26,4.072000,0.371776,0.011072,4.499058,PASS
CUDA,Reduction,5000000,27,4.005824,0.373696,0.012960,4.442839,PASS
CUDA,Reduction,5000000,28,4.025792,0.373312,0.011200,4.456811,PASS
CUDA,Reduction,5000000,29,4.226976,0.379392,0.014528,4.677118,PASS
CUDA,Reduction,5000000,30,4.044512,0.375264,0.012832,4.481182,PASS
CUDA,Reduction,10000000,1,9.080672,0.704480,0.013888,9.847596,PASS
CUDA,Reduction,10000000,2,8.942944,0.702752,0.014688,9.708019,PASS
CUDA,Reduction,10000000,3,8.990560,0.705088,0.014848,9.763162,PASS
CUDA,Reduction,10000000,4,8.975552,0.705568,0.013664,9.743418,PASS
CUDA,Reduction,10000000,5,8.968192,0.701600,0.013568,9.730576,PASS
CUDA,Reduction,10000000,6,8.917728,0.706528,0.014880,9.687098,PASS
CUDA,Reduction,10000000,7,8.986720,0.704576,0.014688,9.758685,PASS
CUDA,Reduction,10000000,8,8.957344,0.705568,0.014336,9.727548,PASS
CUDA,Reduction,10000000,9,8.980160,0.705376,0.014144,9.746869,PASS
CUDA,Reduction,10000000,10,9.124288,0.701824,0.014912,9.889501,PASS
CUDA,Reduction,10000000,11,8.972928,0.703968,0.013664,9.742062,PASS
CUDA,Reduction,10000000,12,8.918880,0.701888,0.013440,9.682485,PASS
CUDA,Reduction,10000000,13,8.940096,0.706464,0.014272,9.706671,PASS
CUDA,Reduction,10000000,14,8.937216,0.703168,0.013696,9.701669,PASS
CUDA,Reduction,10000000,15,8.968320,0.704224,0.014464,9.735256,PASS
